name	expected_exit	actual_exit	elapsed_seconds	command_sha256	log	log_sha256	pilot_observation_count	forbidden_output_hits
pilot_fixture	0	0	1.375	300a00e1cd87d2cf216f5b4d7b96c21b78e1b71aec3359bd1e9e794cd85d2455	01-pilot_fixture.log	fdc47ac6cb27cad0dec492990075f98c8a248341fa7de13db00c953c3ae484bf	1	0
classifier	0	0	0.077	1acdb87dbe8b37ac176714f1769da60a21a954bfd33609ef52aebc2b0ad63ddb	02-classifier.log	2310caedbf420fc08cc6dc401cc19cba4ec418c493ef252501a8efb711da6173	0	0
panic	1	1	8.711	f27e625fee9b097e4b5c43469e1cd037f4ee3ce07045a9dd3b357bd020165cf4	03-panic.log	35da620bdff2abc8f686366e43b705c6250cee828a0f075a1e576f111740d1f0	0	0
swallowed	1	1	7.569	3b07d7c1c3ef69507005f27af5ce0b48039a0504b915aa758d74cc1b2c9add78	04-swallowed.log	ab91b19826ade5a5eee13a81964d75d7efd4038301e9aaf5724ee9b83b853f7e	0	0
code_size	1	1	0.187	6214858dfbd6d2a6efefd523345dd5b2fbc102dda01050e064437697086939fb	05-code_size.log	9584abac6253a1405a2e3a8f37e518abcf98c8c629baeb7ab9ea87b58d40d808	0	0
test_size	1	1	0.185	1fa2ca768c1389a9134dbe097b74068fa32c6003bb000c5959aec51014745dc1	06-test_size.log	a6217f00eadd3d238a4821babad577521a0287eacaa9d434887d9c3481ceb846	0	0
wildcard	0	0	0.291	c132dbfbf0c4b5a3cdcfa1379010af4d8e43fd22e8dbe619a165aa048f955c93	07-wildcard.log	2f4440b53229a7fb4de532885e6c8a94701c93be58b84ffc5f58d67ddb0f03f7	0	0
warning	0	0	7.178	16062ff169c346453f6694d0088880c422249a66286d42292b433e751ac98208	08-warning.log	b920d0e2ceae64e0c32eed4a28a67f3fb912dc7db2e3f34a8b1c6365bd2d5b02	0	0
shell_syntax	0	0	0.035	8f6eb9061d8b44228a2a4c94f872926fd163fac14045d650cc6f9ffbb4d561b0	09-shell_syntax.log	a7af141840eaff8335c5deb42b98d05d5fa12bea57c72f025a12aef1cc639eb5	0	0
diff_check	0	0	0.02	466c2f308b48c7661d646fdd068fbecea974c665fe65dbf8ed508f224180ce0b	10-diff_check.log	bf6dbfa5712852d0368f0317aad9768fa7bec5d1b1d8a0eaff2edc92483ed98a	0	0
